text,label,clean_text,processed_text,text_length,lang
RT Sorry but I think Pak Anies is the only one nailing this South relation question. The other two is not even answering. [RE nabiylarisfa],Politik,rt sorry but i think pak anies is the only one nailing this south relation question the other two is not even answering ,rt sorry but i think anies is the only one nailing this south relation question the other two is not even answering,115,en
RT prabowoÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. taking gaza as an example of ÃƒÂ¢Ã‚â‚¬Ã‚Å“yang lemah yang ditindasÃƒÂ¢Ã‚â‚¬Ã‚ÂÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. he definitely dgafÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE malameze],Politik,rt prabowo taking gaza as an example of yang lemah yang ditindas he definitely dgaf ,rt prabowo taking gaza as an example of lemah ditindas he definitely dgaf,73,en
RT Desak Anies komunitas agama dong ManÃƒÂ¢Ã‚â‚¬Ã‚Â¦ your biggest untapped voter potential tuh orang-orang yang takut 212 kejadian lagi it would be good platform to show his commitment to protect pluralism in the country [RE marissaputri],Politik,rt desak anies komunitas agama dong man your biggest untapped voter potential tuh orangorang yang takut  kejadian lagi it would be good platform to show his commitment to protect pluralism in the country ,rt desak anies komunitas agama man your biggest untapped voter potential tuh orangorang takut kejadian it would be good platform to show his commitment to protect pluralism in the country,187,en
RT prabowoÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. taking gaza as an example of ÃƒÂ¢Ã‚â‚¬Ã‚Å“yang lemah yang ditindasÃƒÂ¢Ã‚â‚¬Ã‚ÂÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. he definitely dgafÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE malameze],Pertahanan dan Keamanan,rt prabowo taking gaza as an example of yang lemah yang ditindas he definitely dgaf ,rt prabowo taking gaza as an example of lemah ditindas he definitely dgaf,73,en
RT prabowoÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. taking gaza as an example of ÃƒÂ¢Ã‚â‚¬Ã‚Å“yang lemah yang ditindasÃƒÂ¢Ã‚â‚¬Ã‚ÂÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. he definitely dgafÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE malameze],Pertahanan dan Keamanan,rt prabowo taking gaza as an example of yang lemah yang ditindas he definitely dgaf ,rt prabowo taking gaza as an example of lemah ditindas he definitely dgaf,73,en
RT anies uniting the islam extrimists n the blue hair with pronouns ppl its crazy [RE 5abeeya],Sosial Budaya,rt anies uniting the islam extrimists n the blue hair with pronouns ppl its crazy ,rt anies uniting the islam extrimists n the blue hair with pronouns ppl its crazy,81,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
RT Imagine how many people that could've been saved if only the govt really do care for us since the earlier outbreak of COVID-19 instead of doing sugar coated politic manuver just because they hate Anies Baswedan. [RE jahterra],Politik,rt imagine how many people that couldve been saved if only the govt really do care for us since the earlier outbreak of covid instead of doing sugar coated politic manuver just because they hate anies baswedan ,rt imagine how many people that couldve been saved if only the govt really do care for us since the earlier outbreak of covid instead of doing sugar coated politic manuver just because they hate anies baswedan,209,en
RT prabowoÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. taking gaza as an example of ÃƒÂ¢Ã‚â‚¬Ã‚Å“yang lemah yang ditindasÃƒÂ¢Ã‚â‚¬Ã‚ÂÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. he definitely dgafÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE malameze],Pertahanan dan Keamanan,rt prabowo taking gaza as an example of yang lemah yang ditindas he definitely dgaf ,rt prabowo taking gaza as an example of lemah ditindas he definitely dgaf,73,en
RT Prabowo thinks Palestine is occupied because of the lack of military armaments and says we could share the same route... Really conveying the extended truth behind demonization of rohingnya. These hitlerites not even try to beat the allegation [RE undesiringmecha],Pertahanan dan Keamanan,rt prabowo thinks palestine is occupied because of the lack of military armaments and says we could share the same route really conveying the extended truth behind demonization of rohingnya these hitlerites not even try to beat the allegation ,rt prabowo thinks palestine is occupied because of the lack of military armaments and says we could share the same route really conveying the extended truth behind demonization of rohingnya these hitlerites not even try to beat the allegation,242,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
"RT Did Prabowo believe that the Palestinians in Gaza are weak? Did he consider the struggles they've faced over the past 75 years, being colonized and fighting for their lives? His perspective seems quite tone-deaf. [RE arman_dhani]",Politik,rt did prabowo believe that the palestinians in gaza are weak did he consider the struggles theyve faced over the past  years being colonized and fighting for their lives his perspective seems quite tonedeaf ,rt did prabowo believe that the palestinians in gaza are weak did he consider the struggles theyve faced over the past years being colonized and fighting for their lives his perspective seems quite tonedeaf,206,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
"RT In Boyolali, Java Island, 15 Indonesian soldiers attacked a campaign convoy which support candidate Ganjar-Mahmud. Several supporters were injured. @/jVDUFyZaa23gnc5AC5tJhLrQ3nZnKGRr8UQALQ5too= called on his supporters to calm down https://t.co/i9vVwwVxpM https://t.co/3rR5IF9RdU [RE andreasharsono]",Pertahanan dan Keamanan,rt in boyolali java island  indonesian soldiers attacked a campaign convoy which support candidate ganjarmahmud several supporters were injured  called on his supporters to calm down   ,rt in boyolali java island indonesian soldiers attacked a campaign convoy which support candidate ganjarmahmud several supporters were injured called on his supporters to calm down,180,en
"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃƒâ€šÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya,rt  september  anies membawa  anak yatim piatu dan dhuafa liburan di ragunan dan dufan ancol people as good as this should not be allowed to lose and fight alone    ,rt september anies membawa anak yatim piatu dhuafa liburan ragunan dufan ancol people as good as this should not be allowed to lose and fight alone,147,en
"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃƒâ€šÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya,rt  september  anies membawa  anak yatim piatu dan dhuafa liburan di ragunan dan dufan ancol people as good as this should not be allowed to lose and fight alone    ,rt september anies membawa anak yatim piatu dhuafa liburan ragunan dufan ancol people as good as this should not be allowed to lose and fight alone,147,en
@BeXMJYHMuIGuTJwZaGAiGBdrrhFS50ddPV3c3ktO7lM= Probowo No More... Anies Forever... https://t.co/mb8cpR275X,Politik, probowo no more anies forever ,probowo no more anies forever,29,en
"RT Is it true that Anies-MuhaiminÃƒÂ¢Ã‚â‚¬Ã‚â„¢s vision and mission talk a lot about environment and ecology? Gen Z and Millenials, letÃƒÂ¢Ã‚â‚¬Ã‚â„¢s find out together! https://t.co/HaT5eiulaP [RE RPKIndonesia]",Sosial Budaya,rt is it true that aniesmuhaimins vision and mission talk a lot about environment and ecology gen z and millenials lets find out together  ,rt is it true that aniesmuhaimins vision and mission talk a lot about environment and ecology gen z and millenials lets find out together,137,en
"RT Politics aside, this is how adults should treat children. Kneel so you meet their eye level. Show them equal respect. Kudos to pak Anies for having this kind of sensitivity to children. https://t.co/dkyFbpAoxV [RE margianta]",Sosial Budaya,rt politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to pak anies for having this kind of sensitivity to children  ,rt politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to anies for having this kind of sensitivity to children,179,en
pak anies tolong ijinin shopee cina jualan lg,Sumber Daya Alam,pak anies tolong ijinin shopee cina jualan lg,anies tolong ijinin shopee cina jualan lg,41,en
RT Prabowo is pro genocide if he's suggesting Gaza is being bombarded just because they're weak. Learn history please #DebatCapres [RE archaludons],Politik,rt prabowo is pro genocide if hes suggesting gaza is being bombarded just because theyre weak learn history please  ,rt prabowo is pro genocide if hes suggesting gaza is being bombarded just because theyre weak learn history please,114,en
"RT Did Prabowo believe that the Palestinians in Gaza are weak? Did he consider the struggles they've faced over the past 75 years, being colonized and fighting for their lives? His perspective seems quite tone-deaf. [RE arman_dhani]",Sosial Budaya,rt did prabowo believe that the palestinians in gaza are weak did he consider the struggles theyve faced over the past  years being colonized and fighting for their lives his perspective seems quite tonedeaf ,rt did prabowo believe that the palestinians in gaza are weak did he consider the struggles theyve faced over the past years being colonized and fighting for their lives his perspective seems quite tonedeaf,206,en
"RT Are u crying? Of course!ÃƒÂ°Ã‚Å¸Ã‚Â¥Ã‚Â¹ ""Bukan dari Anies Baswedan, bukan dari Gubernur, ini adalah dari warga Jakarta"". An unforgettable moment, when Anies Baswedan distributed the provincial government's symbolic social assistance cards for people with disabilities. Hormat-ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ #JejakAnies https://t.co/en7j1ZVWRo [RE PerempuanKujira]",Politik,rt are u crying of course bukan dari anies baswedan bukan dari gubernur ini adalah dari warga jakarta an unforgettable moment when anies baswedan distributed the provincial governments symbolic social assistance cards for people with disabilities hormat   ,rt are u crying of course anies baswedan gubernur warga jakarta an unforgettable moment when anies baswedan distributed the provincial governments symbolic social assistance cards for people with disabilities hormat,215,en
"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃƒâ€šÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya,rt  september  anies membawa  anak yatim piatu dan dhuafa liburan di ragunan dan dufan ancol people as good as this should not be allowed to lose and fight alone    ,rt september anies membawa anak yatim piatu dhuafa liburan ragunan dufan ancol people as good as this should not be allowed to lose and fight alone,147,en
RT prabowoÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. taking gaza as an example of ÃƒÂ¢Ã‚â‚¬Ã‚Å“yang lemah yang ditindasÃƒÂ¢Ã‚â‚¬Ã‚ÂÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. he definitely dgafÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE malameze],Pertahanan dan Keamanan,rt prabowo taking gaza as an example of yang lemah yang ditindas he definitely dgaf ,rt prabowo taking gaza as an example of lemah ditindas he definitely dgaf,73,en
RT cannot waittttt ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ ANIES ROCKS DEBAT CAPRES #Anies2ndStage #HwaitingAbahAnies https://t.co/I3rfg5LMQK [RE muiyuui],Politik,rt cannot waittttt  anies rocks debat capres    ,rt cannot waittttt anies rocks debat capres,43,en
RT Wkwkwk pak Anies portrayed as korean idol trainee by gen z will forever be remembered in history of presidential election [RE CustardnApricot],Sosial Budaya,rt wkwkwk pak anies portrayed as korean idol trainee by gen z will forever be remembered in history of presidential election ,rt wkwkwk anies portrayed as korean idol trainee by gen z will forever be remembered in history of presidential election,120,en
"RT The former chief justice of Indonesia's Constitutional Court is calling for me to be captured because I called for war crimes trials of all officials who murder civilians, including presidential candidate Gen Prabowo Subianto &amp; the US officials who armed, trained &amp; sponsored him. [RE AllanNairn14]",Politik,rt the former chief justice of indonesias constitutional court is calling for me to be captured because i called for war crimes trials of all officials who murder civilians including presidential candidate gen prabowo subianto  the us officials who armed trained  sponsored him ,rt the former chief justice of indonesias constitutional court is calling for me to be captured because i called for war crimes trials of all officials who murder civilians including presidential candidate gen prabowo subianto the us officials who armed trained sponsored him,275,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
"RT This is so disgusting and disrespectful. Even though they are rivals, Prof. Mahfud is far older; moreover he has more experience than this bocah tengil kemarin sore. See how Prabowo and Gibran really lack ethics and you guys still want them to rule this country? #DebatCawapres [RE normelpeople]",Politik,rt this is so disgusting and disrespectful even though they are rivals prof mahfud is far older moreover he has more experience than this bocah tengil kemarin sore see how prabowo and gibran really lack ethics and you guys still want them to rule this country  ,rt this is so disgusting and disrespectful even though they are rivals prof mahfud is far older moreover he has more experience than this bocah tengil kemarin sore see how prabowo and gibran really lack ethics and you guys still want them to rule this country,259,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
"Join the trend, all in prabowoÃƒÂ¢Ã‚Å“Ã‚Å’ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚Å“Ã‚Å’ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚Å“Ã‚Å’ÃƒÂ¯Ã‚Â¸Ã‚Â #JabarTetapPrabowo #PrabowoBersamaPalestina #IndonesiaPrima #MenangkanPancasila #PrabowoGibran2024 https://t.co/5cdGCogRFO",Politik,join the trend all in prabowo      ,join the trend all in prabowo,29,en
"Prabowo to Anies: I am surprised that Cak Imin questioned why we should buy armaments, but you agree to increase defense budget to 2%. And again, your data is wrong. Ganjar also got lots of mistakes. Every party support my budget in parliament, including PDI-P.",Pertahanan dan Keamanan,prabowo to anies i am surprised that cak imin questioned why we should buy armaments but you agree to increase defense budget to  and again your data is wrong ganjar also got lots of mistakes every party support my budget in parliament including pdip,prabowo to anies i am surprised that cak imin questioned why we should buy armaments but you agree to increase defense budget to and again your data is wrong ganjar also got lots of mistakes every party support my budget in parliament including pdip,249,en
"RT Agricultural cooperation has played a big role in a recent warming of ties between Israel and Indonesia, with Indonesian Defense Minister Prabowo Subianto leading the charge from Jakarta. https://t.co/8bHMvNHYHV [RE NephilaXmus]",Politik,rt agricultural cooperation has played a big role in a recent warming of ties between israel and indonesia with indonesian defense minister prabowo subianto leading the charge from jakarta  ,rt agricultural cooperation has played a big role in a recent warming of ties between israel and indonesia with indonesian defense minister prabowo subianto leading the charge from jakarta,188,en
"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃƒâ€šÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya,rt  september  anies membawa  anak yatim piatu dan dhuafa liburan di ragunan dan dufan ancol people as good as this should not be allowed to lose and fight alone    ,rt september anies membawa anak yatim piatu dhuafa liburan ragunan dufan ancol people as good as this should not be allowed to lose and fight alone,147,en
RT Prabowo thinks Palestine is occupied because of the lack of military armaments and says we could share the same route... Really conveying the extended truth behind demonization of rohingnya. These hitlerites not even try to beat the allegation [RE undesiringmecha],Politik,rt prabowo thinks palestine is occupied because of the lack of military armaments and says we could share the same route really conveying the extended truth behind demonization of rohingnya these hitlerites not even try to beat the allegation ,rt prabowo thinks palestine is occupied because of the lack of military armaments and says we could share the same route really conveying the extended truth behind demonization of rohingnya these hitlerites not even try to beat the allegation,242,en
