IDText,Text,clean_text,processed_text,text_length,predicted_label
TXT0011,@alextham878 #Diplomasi Ganjar 3kali lipat anis saat anis tanya nilai wo!! Dipancing anis keluarin blunder angka 11(itu penghinaan) beda dan wajar dgan angka 5!!,  ganjar kali lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka itu penghinaan beda dan wajar dgan angka ,ganjar kali lipat anis anis nilai wo dipancing anis keluarin blunder angka penghinaan beda wajar dgan angka,107,Politik
TXT0012,Malu-maluin. Dari Gemoy ke minyak gorengÃƒÂ¢Ã‚â‚¬Ã‚Â¦ apakah tidak ada cara kampanye yang lebih terhormat u/ masyarakat dan demokrasi? Kenapa masyarakat dan demokrasi diukur-ukur dg sembako dan rupiah? Contoh lah Desak AniesÃƒÂ¢Ã‚â‚¬Ã‚Â¦ terhormat! https://t.co/SRavgtkybi [RE ShamsiAli2],malumaluin dari gemoy ke minyak goreng apakah tidak ada cara kampanye yang lebih terhormat u masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak anies terhormat  ,malumaluin gemoy minyak goreng kampanye terhormat u masyarakat demokrasi masyarakat demokrasi diukurukur dg sembako rupiah contoh desak anies terhormat,151,Politik
TXT0013,"Saking pen junjungan mrk @prabowo brkuasa ap sj dlanggar, @bawaslu_RI dan @KPU_ID sj mlempem letoy hdapi planggaran mrk yg tak bretika !!! ÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚ÂÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚ÂÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚Â¤
#AMINAjaDulu 
#AniesMuhaimin2024 https://t.co/ReVmmRvOcc [RE kurusetra91]","saking pen junjungan mrk  brkuasa ap sj dlanggar  dan  sj mlempem letoy hdapi planggaran mrk yg tak bretika  
 
  ",saking pen junjungan mrk brkuasa ap sj dlanggar sj mlempem letoy hdapi planggaran mrk yg bretika,96,Politik
TXT0014,"Manifesto Gerakan Rakyat untuk Perubahan, Lintas Profesi di Pantura Jawa Tengah Kompak Dukung Anies-Muhaimin (AMIN) https://t.co/YIwBAx2UFV [RE OposisiCerdas]",manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin  ,manifesto gerakan rakyat perubahan lintas profesi pantura jawa kompak dukung aniesmuhaimin amin,95,Politik
TXT0015,"MasyaAllah, gegap gempita para santriwan-santriwati saat menyambut kehadiran Ganjar ke Ponpes An Nawawi Berjan, Purworejo (31/12/2023). 

Selain semarak dari barisan santri, dalam kunjungannya Ganjar Pranowo turut mendapat doa terbaik supaya hajatnya menjadi Kepala Negara untuk memberikan kesejahteraan kepada rakyat Indonesia dikabulkan oleh Tuhan Yang Maha Esa. Aamiin. [RE aan_muba]","masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo  

selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin ",masyaallah gegap gempita santriwansantriwati menyambut kehadiran ganjar ponpes an nawawi berjan purworejo semarak barisan santri kunjungannya ganjar pranowo doa terbaik hajatnya kepala negara kesejahteraan rakyat indonesia dikabulkan tuhan maha esa aamiin,255,Politik
TXT0016,"Sesi saling tanya antar Capres digunakan Ganjar dan Anies kompak untuk menyikat Prabowo.
Anies bertanya ke Prabowo hubungannya etika pemimpin negara dengan pertahanan negara.
(Di sini Anies bermaksud menyerang etika Jokowi soal pencawapresan Gibran.
Juga terkait adanya kader Gerindra yg menjadi rekanan Kemhan, mereka ialah Glenny Kairupan, Yudi Magio Yusuf, Prasetyo Hadi & Angga Raka Prabowo komisaris dari PT TMI.)

Prabowo menjawab ÃƒÂ¢Ã‚â‚¬Ã‚Å“Jangan menghasut dan menyesatkan rakyat demi ambisi pribadi, begitu Prof Anies Baswedan. 
Prabowo berpendapat Anies tak layak bicara etika.

Untuk Ganjar, Prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai, ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahun-tahun. Menurut Prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya. [RE mazzini_gsp]","sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo
anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara
di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran
juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi  angga raka prabowo komisaris dari pt tmi

prabowo menjawab jangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan 
prabowo berpendapat anies tak layak bicara etika

untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak  tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan  tahun selanjutnya ",sesi capres ganjar anies kompak menyikat prabowo anies prabowo hubungannya etika pemimpin negara pertahanan negara anies menyerang etika jokowi pencawapresan gibran terkait kader gerindra yg rekanan kemhan glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris pt tmi prabowo menghasut menyesatkan rakyat ambisi pribadi prof anies baswedan prabowo berpendapat anies layak bicara etika ganjar prabowo kelayakan alutsista yg beli layak pakai membandingkan membeli alutsista nominalnya mengurus pembeliannya memakan bertahuntahun prabowo dibeli,562,Politik
TXT0017,"@Anak__Ogi @ganjarpranowo @mohmahfudmd Setuju... Jgn sampai Pajak dinaikkan 23 % bisa amblas keuangan generasi Z... 

Dukung yg nyata saja.. 
Ganjar-Mahfud lah pilihannya
Ganjar-Mahfud lah jawabannya.. 
#GanjarMahfud2024 #GanjarMahfudSatset #GanjarPresiden #GanjarSikatKorupsi #GanjarUntukSemua","   setuju jgn sampai pajak dinaikkan   bisa amblas keuangan generasi z 

dukung yg nyata saja 
ganjarmahfud lah pilihannya
ganjarmahfud lah jawabannya 
    ",setuju jgn pajak dinaikkan amblas keuangan generasi z dukung yg nyata ganjarmahfud pilihannya ganjarmahfud jawabannya,117,Politik
TXT0018,"Dengan Ganjar-Mahfud, kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan. @syngnyjim Happy New Year 
#GanjarMahfud2024
#3MandatGanjarMahfud
#L3bihbaik https://t.co/OMYAQXBi24","dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan  happy new year 
 ",ganjarmahfud berharap peningkatan investasi riset inovasi industri unggulan kenyataan happy new year,100,Politik
TXT0019,"Kampanye politik Anies dalam Pilgub DKI mempengaruhi dinamika masyarakat, di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda, berdampak pada kohesi sosial antar kelompok usia dalam populasi.",kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,kampanye politik anies pilgub dki mempengaruhi dinamika masyarakat generasi tua memendam kebencian sulit diperbaiki generasi muda berdampak kohesi sosial kelompok usia populasi,176,Politik
TXT0020,"Anies mengatakan, bansos berasal dari uang pajak rakyat. Bukan berasal dari pribadi seseorang untuk kepentingan masyarakat. https://t.co/ky45Mvrc9P [RE kumparan]",anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat  ,anies bansos berasal uang pajak rakyat berasal pribadi kepentingan masyarakat,77,Politik
TXT0021,"Upaya Pemberantasan Korupsi, Anies Ingin Kembalikan Kekuatan KPK Lewat Revisi UU https://t.co/YUmM6xpei5 #TempoVideo [RE tempodotco]",upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu   ,upaya pemberantasan korupsi anies kembalikan kekuatan kpk revisi uu,67,Politik
TXT0022,"ÃƒÂ¢Ã‚ËœÃ‚Ëœ  Ãƒâ€šÃ‚Â TaufikDamasÃƒâ€šÃ‚Â  NetizenGan/staÃƒÂ¢Ã‚â‚¬Ã‚Â¦ QTÃƒâ€šÃ‚Â  NetizenGan:Ãƒâ€šÃ‚Â  KakekHalalÃƒâ€šÃ‚Â  antikorupsi Setya Novanto Sebut Ganjar Pranowo Terima Duit E-KTP US$ 500 RibuÃƒâ€šÃ‚Â  gqpJrpVqW9Ãƒâ€šÃ‚Â 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÃƒâ€šÃ‚Â Sejahtera","   taufikdamas  netizengansta qt  netizengan  kakekhalal  antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us  ribu  gqpjrpvqw 

 ganjar mahfud hebat    nelayan sejahtera",taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto ganjar pranowo terima duit ektp us ribu gqpjrpvqw ganjar mahfud hebat nelayan sejahtera,164,Politik
TXT0023,"Capres Cawapres Ganjar Pranowo dan Mahfud MD, mari bersama-sama kita buka jalan bagi nelayan yang terjebak kredit macet. Sebagai hasilnya, mereka dapat melangkah menuju kebebasan finansial. #NelayanBukaJalan #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNK",capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial    ,capres cawapres ganjar pranowo mahfud md mari bersamasama buka jalan nelayan terjebak kredit macet hasilnya melangkah kebebasan finansial,137,Politik
TXT0024,@RM55Bn/jTOYBntGhLJUBSxbB+yKFrIWQVNDlunZ3qJo= @Nhmw096c2GxBV8+mwzNDoy6GpwXedLhaiEXKudEnO8s= @JupboPaPSlW9++zMIRZLL4qb36IubVN8gCnCwqqEPLw= Apalagi kita sebgai negara kepulauan. Bagian pasifik utara kita harus punya 3 Selatan 2. Bagian barat 3 dan timur 2.  ngra di dua samudra . Colek pak @gMG3cXk1x4nZ4v4fCBxdzeVFP35ZJll838I3xfJxoS8=,   apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya  selatan  bagian barat  dan timur   ngra di dua samudra  colek pak ,sebgai negara kepulauan pasifik utara selatan barat timur ngra samudra colek,76,Politik
TXT0025,"Kehadiran sosokÃƒâ€šÃ‚Â capresÃƒâ€šÃ‚Â nomor urut tiga pada Pemilu 2024, Ganjar Pranowo di TPI Desa Karanganyar Kabupaten Rembang,  membuat nelayan setempat bersuka cita.

Mereka senang ketika mengetahuiÃƒâ€šÃ‚Â Ganjar PranowoÃƒâ€šÃ‚Â membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan.

Ganjar menyebutÃƒâ€šÃ‚Â utangÃƒâ€šÃ‚Â yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah.

Pihaknya sudah menghitung jumlah kredit macet di sektor perikanan Indonesia. Ganjar mengatakan jumlah kredit macet tidaklah banyak, sekitar Rp 190 miliar.

Ganjar-Mahfud

#GanjarMahfud2024

#SahabatGanjar","kehadiran sosok capres nomor urut tiga pada pemilu  ganjar pranowo di tpi desa karanganyar kabupaten rembang  membuat nelayan setempat bersuka cita

mereka senang ketika mengetahui ganjar pranowo membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan

ganjar menyebut utang yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah

pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp  miliar

ganjarmahfud

",kehadiran sosok capres nomor urut pemilu ganjar pranowo tpi desa karanganyar kabupaten rembang nelayan bersuka cita senang ganjar pranowo membawa program unggulan penghapusan kredit macet utang nelayan ganjar menyebut utang dimiliki nelayan dibantu dilunaskan pemerintah menghitung kredit macet sektor perikanan indonesia ganjar kredit macet rp miliar ganjarmahfud,364,Politik
TXT0026,RT Abah online Meroket... Figur Pak Anies Semakin Populer di kalangan anak -anak Milenial dan Anak-Anak Gen-Z... gagasan dan gaya komunikasi Pak Anies tentu berhasil Memikat Anak -Anak Muda terutama anak -anak GEN-Z dan ini Memberi warna baru dalam Kancah berpoltikan https://t.co/mZOd9rneMf [RE Yurissa_Samosir],rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan  ,rt abah online meroket figur anies populer kalangan anak anak milenial anakanak genz gagasan gaya komunikasi anies berhasil memikat anak anak muda anak anak genz warna kancah berpoltikan,186,Politik
TXT0027,Habis Debat Soal Pesawat Bekas Prabowo Teken Kontrak ... - MSN https://t.co/1kJrzdz84q #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan,habis debat soal pesawat bekas prabowo teken kontrak   msn    ,habis debat pesawat bekas prabowo teken kontrak msn,51,Politik
TXT0028,"Ganjar Pranowo dan Mahfud MD Pembela Kesejahteraan Rakyat

 Ganjar Mahfud Hebat #Coblos3 #3GM Memimpin Indonesia #GanjarMahfudM3nangDebat https://t.co/QL4igcwLlw","ganjar pranowo dan mahfud md pembela kesejahteraan rakyat

 ganjar mahfud hebat   memimpin indonesia  ",ganjar pranowo mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia,92,Politik
TXT0029,"Ganjar Pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri, tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat. #GanjarPranowoPilihanUmat  #JNK #GanjarMahfudRebound https://t.co/2pHfh7CeP4",ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat     ,ganjar pranowo pemimpin mikirin kepentingan kepentingan rakyat kebebasan berpendapat masyarakat,95,Politik
TXT0030,"Harus nya @prabowo seperti ini DUDUK BERSILA diacara @AksiKamisan untuk menjawab dan mengklarifikasi atau mengclearkan Tuduhan atau Isu Penculikan dan Pelanggaran Ham yang dialamatkan kedia

Agar tidak ada lagi Asumsi Isu Pelanggaran HAM dan Penculikan hanya muncul Saat Pilpres [RE Catatan_ali7]","harus nya  seperti ini duduk bersila diacara  untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia

agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres ",nya duduk bersila diacara mengklarifikasi mengclearkan tuduhan isu penculikan pelanggaran ham dialamatkan kedia asumsi isu pelanggaran ham penculikan muncul pilpres,164,Politik
TXT0031,"@PartBurungGalak WeelehÃƒâ€šÃ‚Â² isue 5 tahunan yg trus dimunculkan CYBER HTI dkk.
Era ORBA militer adlah alat  yg  dikedepankn demi stabilitas politik dri pemerintah yg otoriter. Adalah sngt tdk logis jika krusuhan yg bgitu masif hanya Prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya."," weeleh isue  tahunan yg trus dimunculkan cyber hti dkk
era orba militer adlah alat  yg  dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya",weeleh isue tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn stabilitas politik dri pemerintah yg otoriter sngt tdk logis krusuhan yg bgitu masif prabowo yg brtanggung tdk pengadilannya,221,Politik
TXT0032,"Padahal tnp usung  anies di DKI @Gerindra jadi partai Gurem .
Emang ada curut2 Geri dra yg layak jadi Gubernur ? [RE Resty_J_Cayah]","padahal tnp usung  anies di dki  jadi partai gurem 
emang ada curut geri dra yg layak jadi gubernur  ",tnp usung anies dki partai gurem emang curut geri dra yg layak gubernur,71,Politik
TXT0033,"Byangin aja orang lebih marah anies gagal mencapai target dp 0% dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk. Belum bahas janji yang lain ya.

Gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi","byangin aja orang lebih marah anies gagal mencapai target dp  dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya

gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi",byangin aja orang marah anies gagal mencapai target dp dibanding jokowi gagal menepati janji impor memperkuat kpk bahas janji ya gw ga dapet jwbn haters anies kritia thdp janji owi,180,Politik
TXT0034,"@MuhadklyAcho @SoundOfYogi Yang bubarin FPI kan pemerintah pusat. Bukan Anies.

Gak kebayang kayak apa Jakarta dengan Anies sebagai Gubernur kalau FPI belum dibubarkan.

Dukung sih silakan aja, tapi jangan denial kalau Anies mendapatkan keuntungan dari ormas diskriminatif. Anies BUKAN manusia sempurna. [RE redhatjkt]","  yang bubarin fpi kan pemerintah pusat bukan anies

gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan

dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna ",bubarin fpi pemerintah pusat anies gak kebayang kayak jakarta anies gubernur fpi dibubarkan dukung sih silakan aja denial anies keuntungan ormas diskriminatif anies manusia sempurna,181,Politik
TXT0035,"Ibaratkan Cak Imin Belimbing Matang di Pohon, Anies Sindir Gibran? https://t.co/QbgQkuxtWW [RE OposisiCerdas]",ibaratkan cak imin belimbing matang di pohon anies sindir gibran  ,cak imin belimbing matang pohon anies sindir gibran,51,Politik
TXT0036,"Prabowo menilai, korupsi merusak kehidupan bangsa, membahayakan keselamatan negara. Salah satu yang ia tawarkan adalah menaikkan gaji para pejabat. https://t.co/s2A6yGHxik [RE nu_online]",prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat  ,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah tawarkan menaikkan gaji pejabat,118,Politik
TXT0037,Pilihlah yang jauh dari radikalisme dan dekat dengan solusi. Pilih Ganjar Pranowo! #JNK #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNKGanjar2024 https://t.co/bBS7r8JUwT,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo     ,pilihlah radikalisme solusi pilih ganjar pranowo,48,Politik
TXT0038,"Yg sepakat untuk 2024 Asal Bukan Prabowo silahkan Retweet kita kabar kan seluruh Nusantara bahwa Indonesia 
TDK butuh CAPRES PENCULIKÃƒÂ¢Ã‚ÂÃ‚Å’ PELANGAR HAM BERATÃƒÂ¢Ã‚ÂÃ‚Å’
CAWAPRES PERUSAKÃƒÂ¢Ã‚ÂÃ‚Å’ DEMOKRASI DAN KONSTITUSIÃƒÂ¢Ã‚ÂÃ‚Å’ CUKUP #AsalBukanPrabowo https://t.co/7D1lmYVeuD [RE eddy_widodo_165]","yg sepakat untuk  asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia 
tdk butuh capres penculik pelangar ham berat
cawapres perusak demokrasi dan konstitusi cukup   ",yg sepakat prabowo silahkan retweet kabar nusantara indonesia tdk butuh capres penculik pelangar ham berat cawapres perusak demokrasi konstitusi,144,Politik
TXT0039,"@KompasTV mantap, korupsi akan dibabat sama pak anies", mantap korupsi akan dibabat sama pak anies,mantap korupsi dibabat anies,28,Politik
TXT0040,"Etika dan Kepemimpinan itu di mulai dari Lingkungan Keluarga, Wowo Menyindir Pak ANIES dan Pak ANIES Tetap senyum dan Tidak Baper, ..giliran BALIK di SINDIR Oleh Pak ANIES, kata Pendukung Wowo Debat Malah Nyerang Personal, Memang Lucu Lihat Kelakuan Pendukung Wowo ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ https://t.co/iB6eNF3QaN [RE Yurissa_Samosir]",etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo   ,etika kepemimpinan lingkungan keluarga wowo menyindir anies anies senyum baper giliran sindir anies pendukung wowo debat nyerang personal lucu lihat kelakuan pendukung wowo,172,Politik
TXT0041,"Ini gambaran kalo kita kritik pemerintah nanti, kritik Pak Prabowo sebagai menhan aja disebut kritik personal di replyannya ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ [RE hwztmf]",ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya  ,gambaran kalo kritik pemerintah kritik prabowo menhan aja kritik personal replyannya,84,Politik
TXT0042,"ÃƒÂ¢Ã‚â€ºÃ‚Âµ  Ãƒâ€šÃ‚Â Ãƒâ€šÃ‚Â  GoGanjarGo: Ganjar optimis capai pertumbuhan ekonomi 7% SahabatGanjarÃƒâ€šÃ‚Â  Ãƒâ€šÃ‚Â  Ganjar MenangkanGanjar GenerasiGotongRoyongÃƒâ€šÃ‚Â 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Perempuan Maju","     goganjargo ganjar optimis capai pertumbuhan ekonomi  sahabatganjar    ganjar menangkanganjar generasigotongroyong 

 ganjar mahfud hebat    perempuan maju",goganjargo ganjar optimis capai pertumbuhan ekonomi sahabatganjar ganjar menangkanganjar generasigotongroyong ganjar mahfud hebat perempuan maju,144,Politik
