text,label,clean_text,processed_text,text_length
"RT Beberapa isu basi terkait @hs5jZceksZrPM0NiWtKnsbSbZ1XyaZtU4OHkKgrcDk8= / @wEOWbjbQXX93e2r1/7iXQ1mV/pxGE9yrnUdgURpW0Y0= dan fakta sebenarnya bisa dilihat di https://t.co/3aR3K0Plf4. Beberapa diantaranya: ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Anies akan mengganti Pancasila dengan sistem Khilafah: https://t.co/jfzZ6vpU11 ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Terkait toleransi berbagai penganut agamaÃƒÂ¢Ã‚â‚¬Ã‚â€Anies blunder soal data rumah ibadah di Jakarta: https://t.co/nGdOmaVOEO ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Anies mengkhianati Prabowo untuk jadi Capres: https://t.co/ioe8x09UpZ Saat kebenaran dan fakta atas suatu hal telah jelas, tapi tetap disangkalÃƒÂ¢Ã‚â‚¬Ã‚â€entah karena niat jahat, nafsu, atau kepentingan pribadiÃƒÂ¢Ã‚â‚¬Ã‚Â¦benar bahwa seringkali yang buta itu bukan mata, tapi hati yang buta. [RE borryshasian]",Ideologi,rt beberapa isu basi terkait    dan fakta sebenarnya bisa dilihat di  beberapa diantaranya  anies akan mengganti pancasila dengan sistem khilafah   terkait toleransi berbagai penganut agamaanies blunder soal data rumah ibadah di jakarta   anies mengkhianati prabowo untuk jadi capres  saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkalentah karena niat jahat nafsu atau kepentingan pribadibenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta ,rt isu basi terkait fakta anies mengganti pancasila sistem khilafah terkait toleransi penganut agamaanies blunder data rumah ibadah jakarta anies mengkhianati prabowo capres kebenaran fakta disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta mata hati buta,277
"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]",Pertahanan dan Keamanan,rt ganjar pranowomahfud md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraganjar mahfud mnang        ,rt ganjar pranowomahfud md menekankan persiapan kebutuhan dasar alutsista matra darat laut udaraganjar mahfud mnang,115
"RT Calon presiden (capres) nomor urut 1 Anies Baswedan @vaVbSLyok3xdwCAiYpXkJarkzroaILpIRIdpu/z3CJE= sudah siap dengan kemampuannya menghadapi debat ketiga. Debat ketiga akan menyangkut tema soal pertahanan, keamanan, hubungan internasional, dan geopolitik. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #debatcapres [RE Metro_TV]",Pertahanan dan Keamanan,rt calon presiden capres nomor urut  anies baswedan  sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik download  di app store  play store    ,rt calon presiden capres nomor urut anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download app store play store,189
Capres Ganjar Pranowo punya rencana besar! Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/L8MREZKfXz,Politik,capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif    ,capres ganjar pranowo rencana bersinergi perguruan program membawa perubahan positif,84
"@YcALzIavlM9mN2WtCz3omAmFsnJU8aBm4seMBHJD2vc= @tDtdY83jBV3k81lsAOhmIc1vK+/zGxcIdKVOWIu29xI= @Knh1OhMlSdWjOdPeGirPIxWUf4qXOOU/iNP8ZBTeaLE= @K7Z2vGLl2OuxDbFwAiP8MxCqp07lzjNsfLWVZu5Ipz4= Dengan pendapatan APBD jumbo, paling besar se-Indonesia, mencapai Rp 77",Ekonomi,    dengan pendapatan apbd jumbo paling besar seindonesia mencapai rp ,pendapatan apbd jumbo seindonesia mencapai rp,45
"@VHznvAltictn2PtvpMTLB+H/VJ6L603oe1oRpSZJtO4= Kenyataan yg timbul, menghancurkan pribadi yg isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih. #MunculFenomenaPAKbowo DukunganTulus Untuk02 @K5CWVm/0TA1XpCHveYhOEBrkxUugg2",Politik, kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih  dukungantulus untuk ,kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih dukungantulus,138
"RT Mas Ganjar bawa data dan ngasih pertanyaan berdasar data. Bisa saja dijawab oleh Pak Prabowo tanpa bilang data dari Mas Ganjar salah. Tapi karena Pak Prabowo bilang datanya salah, wajar jika Mas Ganjar minta ditunjukkan mana data yang benar. Gak ada urusan sama waktu yang singkat. [RE pangeransiahaan]",Politik,rt mas ganjar bawa data dan ngasih pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar gak ada urusan sama waktu yang singkat ,rt mas ganjar bawa data ngasih berdasar data prabowo bilang data mas ganjar salah prabowo bilang datanya salah wajar mas ganjar data gak urusan singkat,151
RT Trending On Twitter ( X) Anies Bubble meroket - Fenomena Fans K-pop join AMIN -ISME https://t.co/SzQctyOJoQ [RE Yurissa_Samosir],Sosial Budaya,rt trending on twitter  x anies bubble meroket  fenomena fans kpop join amin isme  ,rt trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,79
"RT @BUMlUyYYGIARoOH2Nx/iuCAFpXprUov+NM3cvB2DtYI= Wait wait pak. Ada bukti pak anies gunakan politik identitas ? Bukankah justru ahok yang terang terangan. Bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata ""kafir"". Berpikir adil itu memang sulit pak. https://t.co/tCzvhvR2G9 [RE iahk25]",Politik,rt  wait wait pak ada bukti pak anies gunakan politik identitas  bukankah justru ahok yang terang terangan bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu memang sulit pak  ,rt wait wait bukti anies politik identitas ahok terang terangan pilkada memantik perselisihan password wifi kafir berpikir adil sulit,133
"RT Siti Atikoh mengunjungi kantor TPD Ganjar-Mahfud Sumatera Selatan. Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan Ganjar-Mahfud di Hari Tuna Rungu Nasional 2024. Atikoh diberikan kejutan berupa kaos warna merah, bertuliskan Ibu Negara Indonesia di bagian depan. Tak hanya diberikan kejutan, Atikoh juga diajarkan Bahasa Isyarat. #PDIPerjuangan #HUTPDIPerjuanganKe51 #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #MEnangkanGAnjar #Nomor3Pilihanku [RE PDI_Perjuangan]",Politik,rt siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjarmahfud di hari tuna rungu nasional  atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat        ,rt siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh kejutan penyandang tuna rungu simpatisan ganjarmahfud tuna rungu nasional atikoh kejutan kaos warna merah bertuliskan negara indonesia kejutan atikoh diajarkan bahasa isyarat,249
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2],Sosial Budaya,rt abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup   ,rt abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,79
"Calon Presiden RI Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/v6hsuOEr84",Politik,calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak   ,calon presiden ri ganjar pranowo mahfud md regulasi hukum investasi mudah dipahami,82
"RT Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisiÃƒÂ°Ã‚Å¸Ã‚Â¥Ã‚Â¹ "" Tidak Usah jangan, Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya "" #Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais https://t.co/VIKVDzL1Sr [RE Riweh_Banget]",Politik,rt pak michael gaya bicara keras dan terkesan emosional tapi tetap berisi  tidak usah jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya   pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais  ,rt michael gaya bicara keras terkesan emosional berisi prabowo kekerasan militer orang sifatnya lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,179
"Paslon 03 Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukur.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/RIoiHBQcPU",Politik,paslon  ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat dan terukur   ,paslon ganjar pranowo mahfud md regulasi hukum investor indonesia bersahabat terukur,84
"RT ANIES SOSOK AYAH YANG PENUH KEHANGATAN - ÃƒÂ¬Ã‚â€¢ ÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ¬Ã‚Å Ã‚Â¤ÃƒÂ«Ã‚Å Ã‚â€ ÃƒÂ«Ã‚â€Ã‚Â°ÃƒÂ«Ã‚Å“Ã‚Â»ÃƒÂ­Ã‚â€¢Ã‚Â¨ÃƒÂ¬Ã‚ÂÃ‚Â´ ÃƒÂªÃ‚Â°Ã‚â‚¬ÃƒÂ«Ã‚â€œÃ‚ÂÃƒÂ­Ã‚â€¢Ã‚Å“ ÃƒÂ¬Ã‚â€¢Ã‚â€žÃƒÂ«Ã‚Â²Ã‚â€žÃƒÂ¬Ã‚Â§Ã‚â‚¬ÃƒÂ¬Ã‚ÂÃ‚Ëœ ÃƒÂ«Ã‚ÂªÃ‚Â¨ÃƒÂ¬Ã‚Å Ã‚ÂµÃƒÂ¬Ã‚Å¾ ÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ«Ã‚â€¹Ã‚Â¤ Pak @tMhERoSGzAGffRRtESW3sH2i8KRZA00OpeRvhkolzv0= mmg sosok Ayah yg Penuh Kehangatan. Lihat dlm tayangan video ini, tangannya lentur banget menggendong anak kecil. Tampak Luwes, ngga kaku dan ngga buat-buat.Ãƒâ€š Pasti anak-anaknya jg sering merasakan gendongan, pelukan dan pelukan beliau. - ""Kekuatan sejati adalah ketenangan di pelukan Ayah."" - #aniesbubbleÃƒâ€š #AniesMuhaimin2024 [RE papa_loren]",Pertahanan dan Keamanan,rt anies sosok ayah yang penuh kehangatan         pak  mmg sosok ayah yg penuh kehangatan lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes ngga kaku dan ngga buatbuat pasti anakanaknya jg sering merasakan gendongan pelukan dan pelukan beliau  kekuatan sejati adalah ketenangan di pelukan ayah   ,rt anies sosok ayah penuh kehangatan mmg sosok ayah yg penuh kehangatan lihat dlm tayangan video tangannya lentur banget menggendong anak luwes ngga kaku ngga buatbuat anakanaknya jg merasakan gendongan pelukan pelukan beliau kekuatan sejati ketenangan pelukan ayah,265
Capres Ganjar Pranowo nggak main-main nih! Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/aDzMKmTRYj,Politik,capres ganjar pranowo nggak mainmain nih kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya    ,capres ganjar pranowo nggak mainmain nih kolaborasi perguruan program edukatif oke,82
RT Projo Kawal Prabowo Gibran Menang Sekali Putaran ÃƒÂ¢Ã‚Å“Ã‚Å ÃƒÂ°Ã‚Å¸Ã‚â€¡Ã‚Â®ÃƒÂ°Ã‚Å¸Ã‚â€¡Ã‚Â© #projo #jokowi #setiadigarisrakyat https://t.co/9WT8h4Iizh [RE Projo_Pusat],Politik,rt projo kawal prabowo gibran menang sekali putaran      ,rt projo kawal prabowo gibran menang putaran,44
tempodotco semangat pak Ãƒâ€š Ãƒâ€š kami akan selalu m3nddukung muÃƒâ€š Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/K7EM7R7P2v,Politik,tempodotco semangat pak   kami akan selalu mnddukung mu ganjar mahfud hebat     ,tempodotco semangat mnddukung mu ganjar mahfud hebat,52
RT Anies sesuai selera masyarakat Sumatera Barat. https://t.co/6phxEXGjc6 [RE kamalmiko],Sosial Budaya,rt anies sesuai selera masyarakat sumatera barat  ,rt anies sesuai selera masyarakat sumatera barat,48
RT Abah Anies Baswedan &amp; ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701],Politik,rt abah anies baswedan  ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini   ,rt abah anies baswedan fery farhati pekanbaru kampanye akbar,60
Atikoh Beberkan Solusi Ganjar-Mahfud Atasi Harga Pangan Naik https://t.co/m8OARyG630,Politik,atikoh beberkan solusi ganjarmahfud atasi harga pangan naik ,atikoh beberkan solusi ganjarmahfud atasi harga pangan,54
RT Giliran Buruh Soloraya Deklarasi Dukung Prabowo-Gibran - Soloraya https://t.co/DBaQCYeqKV https://t.co/hjZXhvK0oi #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312],Politik,rt giliran buruh soloraya deklarasi dukung prabowogibran  soloraya      ,rt giliran buruh soloraya deklarasi dukung prabowogibran soloraya,65
Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negara.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/VdpFFxOeUQ,Ideologi,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara   ,capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,96
RT Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES &amp; Slepet Imin di JI-EXPO Kemayoran Jakarta pusat Hari ini Senin 29 Januari 2024 https://t.co/RrXqDp1oVE [RE Yurissa_Samosir],Politik,rt raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies  slepet imin di jiexpo kemayoran jakarta pusat hari ini senin  januari   ,rt raja dangdut haji rhoma irama seni film anies terpilih presiden desak anies slepet imin jiexpo kemayoran jakarta pusat senin januari,135
Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITE.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/P6xBly0eos,Politik,capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu ite   ,capres ganjar pranowo ruang masyarakat masukan saran evaluasi pasal karet uu ite,80
"RT Ini musuh utama gen z, Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta &amp; pemerintahan dg penegakan aturan.. #AMINAjaDulu https://t.co/kcras6WuXs [RE ekowboy2]",Politik,rt ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta  pemerintahan dg penegakan aturan   ,rt musuh utama gen z anies bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta pemerintahan dg penegakan aturan,126
"Debat Capres-Cawapres ke-3, Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100. Jadi Menteri saja tidak layak, menurut Paslon 01.",Politik,debat caprescawapres ke anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya  dari  jadi menteri saja tidak layak menurut paslon ,debat caprescawapres anies nilai kemenhan melaksanakan kebijakan nilainya menteri layak paslon,94
"Pasangan Duet Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.JN18A #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat",Ekonomi,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit  untuk koprasi dan umkm jadi andalan bisnis lokal sukses terus temantemanjna   ,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit koprasi umkm andalan bisnis lokal sukses temantemanjna,132
"RT Anak Muda Indonesia, the future of this nation is in your hand. It's the time for change. Anies for President..sampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide &amp; gagasan...tunjukan karya-karya Pak Anies untuk Perubahan Indonesia lebih baik lagi https://t.co/S9S9Kanr0z [RE Yurissa_Samosir]",Ideologi,rt anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide  gagasantunjukan karyakarya pak anies untuk perubahan indonesia lebih baik lagi  ,rt anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yg teman adu ide gagasantunjukan karyakarya anies perubahan indonesia,187
"RT Pak AniesÃƒÂ¢Ã‚â‚¬Ã‚â„¢s post has reached 26.000 likes and 1.350.573 on Dialog Capres w/ Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. ÃƒÂ¢Ã‚â‚¬Ã‚â€ It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃƒÂ¢Ã‚â‚¬Ã‚â„¢s members #ANIES #ÃƒÂ¬Ã‚â€¢Ã‚â€žÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ¬Ã‚Å Ã‚Â¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble]",Sosial Budaya,rt pak aniess post has reached  likes and  on dialog capres w kadin tvonenews youtube in  days  hour  minutes  it is the fastest and highest post to reach k likes and m likes among capress members     ,rt aniess post has reached likes and on dialog capres w kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach k likes and m likes among capress members,186
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159
"RT Ini kejam, warga disitu sudah bersedia dibangun JIS dgn janji Anies utk memabngun rumah susun bagi mereka. Stlh rumah itu terbangun mrk ga diberikan haknya. Padahal Anies selaku Gubernur sll menepati janjinya. Kampung akuarium, kampung kunir dll. Apa yg salah rakyat mendapat rmh? [RE GeiszChalifah]",Sosial Budaya,rt ini kejam warga disitu sudah bersedia dibangun jis dgn janji anies utk memabngun rumah susun bagi mereka stlh rumah itu terbangun mrk ga diberikan haknya padahal anies selaku gubernur sll menepati janjinya kampung akuarium kampung kunir dll apa yg salah rakyat mendapat rmh ,rt kejam warga disitu bersedia dibangun jis dgn janji anies utk memabngun rumah susun stlh rumah terbangun mrk ga haknya anies gubernur sll menepati janjinya kampung akuarium kampung kunir dll yg salah rakyat rmh,212
RT Prabowo-Gibran akan Terapkan 17 Program Ini untuk Melancarkan Ekonomi Biru - Internasional Kontan https://t.co/3wJ1RkX4NX #MenangSeputaran [RE AzzrielAzaryahu],Ekonomi,rt prabowogibran akan terapkan  program ini untuk melancarkan ekonomi biru  internasional kontan   ,rt prabowogibran terapkan program melancarkan ekonomi biru internasional kontan,79
"RT VIRAL Anies Baswedan Dapat Ancaman Penembakan, Tim Hukum AMIN Siap Tempuh Jalur Hukum! https://t.co/pnFEy0cLgj [RE democrazymedia]",Pertahanan dan Keamanan,rt viral anies baswedan dapat ancaman penembakan tim hukum amin siap tempuh jalur hukum  ,rt viral anies baswedan ancaman penembakan tim hukum amin tempuh jalur hukum,76
RT Kasihan Pendukung Prabowo udah dibela belain masuk penjara gak diakui..... https://t.co/8l6IbwcGwC [RE Catatan_ali7],Politik,rt kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui  ,rt kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui,72
"tempodotco Ayo Ganjar, tuntaskan permasalahan yang ada di Indonesia, pasti bisa pasti m3nang Ãƒâ€š Ãƒâ€š semuakerjaÃƒâ€š Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar ayahbowo adalahkita ÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚â‚¬ https://t.co/zRmqeHufEI",Politik,tempodotco ayo ganjar tuntaskan permasalahan yang ada di indonesia pasti bisa pasti mnang   semuakerja ganjar mahfud hebat    ayahbowo adalahkita  ,tempodotco ayo ganjar tuntaskan permasalahan indonesia mnang semuakerja ganjar mahfud hebat ayahbowo adalahkita,111
RT Wiranto langsung bergerak cepat untuk memberikan dukungan kepada Prabowo - Gibran. #WirantoGasPolDukung02 https://t.co/vkk1Hbk5Wl [RE AlfisyahriFarah],Politik,rt wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo  gibran   ,rt wiranto langsung bergerak cepat dukungan prabowo gibran,58
